"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NIFTYBEES","EQ","09-Jun-2025","280.50","281.05","282.89","281.05","281.35","281.35","281.49","42,88,088","1,20,70,65,386.23","53,535","28,95,191","67.52"
"NIFTYBEES","EQ","10-Jun-2025","281.35","282.20","282.80","281.00","281.25","281.39","281.67","45,57,302","1,28,36,65,665.82","41,524","29,63,404","65.03"
"NIFTYBEES","EQ","11-Jun-2025","281.39","281.75","282.80","280.50","281.76","281.87","282.15","52,46,351","1,48,02,56,385.59","35,002","29,27,182","55.79"
"NIFTYBEES","EQ","12-Jun-2025","281.87","282.00","282.75","278.43","278.90","278.95","279.78","76,46,410","2,13,92,82,873.52","63,407","43,77,840","57.25"
"NIFTYBEES","EQ","13-Jun-2025","278.95","276.00","277.50","274.08","277.28","277.10","276.57","64,91,577","1,79,53,80,228.69","67,544","39,26,425","60.48"
"NIFTYBEES","EQ","16-Jun-2025","277.10","279.39","279.97","276.01","279.50","279.70","278.69","52,87,546","1,47,36,05,181.99","53,899","26,32,218","49.78"
"NIFTYBEES","EQ","17-Jun-2025","279.70","281.49","281.49","278.21","278.55","278.59","278.74","71,13,968","1,98,29,73,476.62","39,523","55,19,911","77.59"
"NIFTYBEES","EQ","18-Jun-2025","278.59","279.89","279.89","277.38","278.32","278.24","278.55","32,00,952","89,16,25,934.89","28,557","18,12,183","56.61"
"NIFTYBEES","EQ","19-Jun-2025","278.24","278.50","279.89","271.28","277.82","277.91","278.14","43,30,677","1,20,45,40,640.80","31,327","28,62,624","66.10"
"NIFTYBEES","EQ","20-Jun-2025","277.91","276.51","281.80","276.49","281.50","281.50","280.67","1,13,99,466","3,19,94,88,472.82","38,308","80,66,858","70.77"
"NIFTYBEES","EQ","23-Jun-2025","281.50","280.90","281.53","278.50","280.95","280.86","280.18","89,63,571","2,51,14,33,605.49","56,958","51,08,706","56.99"
"NIFTYBEES","EQ","24-Jun-2025","280.86","283.90","284.24","281.17","281.78","281.43","282.79","1,02,19,161","2,88,98,55,438.99","47,105","45,19,459","44.23"
"NIFTYBEES","EQ","25-Jun-2025","281.43","282.00","283.78","281.71","283.40","283.41","283.13","33,46,093","94,73,71,764.92","34,446","18,36,535","54.89"
"NIFTYBEES","EQ","26-Jun-2025","283.41","283.40","286.58","282.11","286.40","286.39","285.28","1,02,12,702","2,91,34,55,285.35","47,378","75,50,747","73.93"
"NIFTYBEES","EQ","27-Jun-2025","286.39","287.00","288.28","286.44","288.00","287.96","287.62","51,39,824","1,47,83,00,609.64","36,396","30,63,833","59.61"
"NIFTYBEES","EQ","30-Jun-2025","287.96","287.80","289.39","286.11","286.50","286.51","287.12","79,28,260","2,27,63,91,747.52","65,020","46,07,549","58.12"
"NIFTYBEES","EQ","01-Jul-2025","286.51","287.88","287.89","286.31","286.89","286.84","286.90","53,55,172","1,53,64,22,713.73","43,275","41,18,233","76.90"
"NIFTYBEES","EQ","02-Jul-2025","286.84","287.89","287.89","285.20","285.89","285.78","286.22","56,69,639","1,62,27,59,615.66","46,004","38,08,210","67.17"
"NIFTYBEES","EQ","03-Jul-2025","285.78","286.89","287.26","285.16","285.78","285.39","286.42","98,06,621","2,80,88,51,232.64","37,704","67,85,210","69.19"
"NIFTYBEES","EQ","04-Jul-2025","285.39","287.89","287.89","283.01","286.45","286.11","285.52","44,68,132","1,27,57,59,680.38","72,948","29,65,938","66.38"
"NIFTYBEES","EQ","07-Jul-2025","286.11","287.79","287.79","284.01","286.22","286.07","286.05","51,91,711","1,48,50,88,187.65","61,133","34,19,805","65.87"
"NIFTYBEES","EQ","08-Jul-2025","286.07","285.90","287.19","285.30","287.16","286.91","286.42","27,20,142","77,90,98,677.13","33,979","15,55,871","57.20"
"NIFTYBEES","EQ","09-Jul-2025","286.91","286.11","287.69","286.00","286.45","286.50","286.80","20,84,278","59,77,62,892.43","34,600","11,72,177","56.24"
"NIFTYBEES","EQ","10-Jul-2025","286.50","285.30","287.69","285.00","285.32","285.16","285.49","45,43,938","1,29,72,41,436.31","53,618","30,51,899","67.16"
"NIFTYBEES","EQ","11-Jul-2025","285.16","285.39","285.39","282.50","283.30","283.11","283.65","53,35,789","1,51,34,93,471.56","65,841","40,86,707","76.59"
"NIFTYBEES","EQ","14-Jul-2025","283.11","284.39","284.39","281.69","282.90","282.71","282.35","38,84,074","1,09,66,83,657.64","56,549","27,60,310","71.07"
"NIFTYBEES","EQ","15-Jul-2025","282.71","283.49","284.38","282.10","284.00","283.69","283.56","55,81,909","1,58,28,07,332.49","36,546","36,17,638","64.81"
"NIFTYBEES","EQ","16-Jul-2025","283.69","283.80","284.39","282.80","283.65","283.64","283.38","30,91,019","87,59,44,894.19","30,870","15,99,041","51.73"
"NIFTYBEES","EQ","17-Jul-2025","283.64","284.99","284.99","282.61","282.94","282.83","283.30","38,32,375","1,08,57,25,235.19","32,505","23,02,832","60.09"
"NIFTYBEES","EQ","18-Jul-2025","282.83","283.50","283.69","281.00","281.66","281.43","281.59","44,85,164","1,26,29,63,801.14","59,105","31,04,293","69.21"
"NIFTYBEES","EQ","21-Jul-2025","281.43","282.79","282.79","280.35","282.50","282.26","281.90","39,13,052","1,10,31,08,868.09","51,517","26,53,346","67.81"
"NIFTYBEES","EQ","22-Jul-2025","282.26","283.89","283.89","281.30","282.05","282.07","282.25","32,89,296","92,83,92,654.73","31,877","23,31,482","70.88"
"NIFTYBEES","EQ","23-Jul-2025","282.07","283.69","283.70","281.30","283.50","283.53","283.14","34,32,968","97,20,22,443.27","27,801","27,05,091","78.80"
"NIFTYBEES","EQ","24-Jul-2025","283.53","284.49","284.49","281.54","282.34","282.10","282.49","33,52,354","94,69,95,767.40","37,867","22,75,552","67.88"
"NIFTYBEES","EQ","25-Jul-2025","282.10","282.10","282.19","279.85","280.00","280.03","280.32","55,04,460","1,54,29,90,148.10","72,043","41,41,169","75.23"
"NIFTYBEES","EQ","28-Jul-2025","280.03","280.49","280.62","278.13","278.74","278.49","279.20","35,70,644","99,69,36,060.70","68,240","24,50,663","68.63"
"NIFTYBEES","EQ","29-Jul-2025","278.49","286.84","286.84","277.41","280.00","280.09","278.98","36,94,965","1,03,08,24,509.13","37,748","21,65,973","58.62"
"NIFTYBEES","EQ","30-Jul-2025","280.09","281.89","281.89","278.46","280.24","280.13","280.14","30,42,854","85,24,33,197.26","32,508","13,92,754","45.77"
"NIFTYBEES","EQ","31-Jul-2025","280.13","279.90","281.39","277.33","279.13","279.26","279.58","62,28,908","1,74,14,79,673.06","51,821","35,49,662","56.99"
"NIFTYBEES","EQ","01-Aug-2025","279.26","280.99","280.99","277.03","277.46","277.35","278.20","47,44,556","1,31,99,36,913.14","66,609","31,00,204","65.34"
"NIFTYBEES","EQ","04-Aug-2025","277.35","278.81","279.02","276.98","279.00","278.85","278.10","31,05,481","86,36,49,265.06","60,064","16,71,229","53.82"
"NIFTYBEES","EQ","05-Aug-2025","278.85","279.39","279.89","277.60","278.29","278.14","277.99","30,12,419","83,74,26,385.33","52,062","19,62,830","65.16"
"NIFTYBEES","EQ","06-Aug-2025","278.14","278.89","278.89","277.01","277.40","277.31","277.55","23,31,607","64,71,34,035.80","39,742","13,03,112","55.89"
"NIFTYBEES","EQ","07-Aug-2025","277.31","275.51","277.99","274.80","277.80","277.29","275.93","74,35,680","2,05,17,56,269.98","77,712","54,68,458","73.54"
"NIFTYBEES","EQ","08-Aug-2025","277.29","277.89","277.89","274.80","275.48","275.14","275.82","44,93,882","1,23,95,02,062.44","63,660","33,12,108","73.70"
