date,symbol,series,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_rs,no_of_trades,deliverable_qty,pct_dly_qt_to_traded_qty,daily_return_pct,log_return,rolling_volatility_20,rolling_avg_20,rolling_avg_50
2025-11-13,NIFTYBEES,EQ,292.72,293.21,293.75,291.75,293.0,292.39,292.93,"55,61,716","1,62,91,85,518.77","38,006","31,34,179",56.35,-0.113,-0.0011279931465542643,0.005052093426295423,291.0,285.7362
2025-11-14,NIFTYBEES,EQ,292.39,290.84,293.25,290.84,293.0,292.83,292.18,"47,17,609","1,37,83,87,718.07","34,568","25,34,170",53.72,0.15,0.0015037082905860815,0.004789026520804056,291.322,286.011
2025-11-17,NIFTYBEES,EQ,292.83,301.61,301.61,292.74,294.0,293.97,293.67,"46,15,578","1,35,54,41,932.63","45,324","33,75,414",73.13,0.389,0.0038854854608535157,0.0044604669127408176,291.61050000000006,286.32460000000003
2025-11-18,NIFTYBEES,EQ,293.97,294.89,294.89,292.5,292.95,292.97,293.17,"39,69,744","1,16,38,19,651.75","38,481","24,89,145",62.7,-0.34,-0.0034075066193872718,0.004446088285766359,291.7795,286.5824
2025-11-19,NIFTYBEES,EQ,292.97,292.97,294.55,292.4,294.4,294.37,293.61,"44,75,990","1,31,42,08,524.58","31,383","22,48,858",50.24,0.478,0.004767264791979401,0.004386182461930943,291.87600000000003,286.87219999999996
2025-11-20,NIFTYBEES,EQ,294.37,293.19,296.37,292.32,295.95,295.64,295.55,"75,04,990","2,21,80,63,840.20","40,864","60,69,960",80.88,0.431,0.004305018428257036,0.0044691705601595175,292.047,287.1784
2025-11-21,NIFTYBEES,EQ,295.64,295.89,295.89,294.1,294.33,294.32,294.82,"45,39,993","1,33,84,69,002.33","33,101","30,38,834",66.93,-0.446,-0.004474887120167115,0.004602194522342613,292.0905,287.465
2025-11-24,NIFTYBEES,EQ,294.32,295.12,295.44,292.72,293.19,293.3,294.33,"49,23,046","1,44,90,15,153.52","43,373","27,44,154",55.74,-0.347,-0.0034716348131135248,0.004543542523120368,292.2335,287.7132
2025-11-25,NIFTYBEES,EQ,293.3,294.22,294.28,292.25,292.8,292.68,293.27,"50,56,637","1,48,29,43,526.38","38,266","36,19,895",71.59,-0.211,-0.002116113967576168,0.004211135657747783,292.23400000000004,287.9332
2025-11-26,NIFTYBEES,EQ,292.68,293.99,296.2,291.91,296.17,296.01,295.38,"51,02,629","1,50,71,90,601.23","29,704","32,78,910",64.26,1.138,0.011313375521355662,0.0049182071548020375,292.354,288.1738
2025-11-27,NIFTYBEES,EQ,296.01,296.01,297.45,295.48,296.59,296.42,296.75,"59,85,585","1,77,62,27,557.16","36,116","40,16,111",67.1,0.139,0.001384129991584085,0.004820811577035251,292.47349999999994,288.4436
2025-11-28,NIFTYBEES,EQ,296.42,297.24,297.24,296.02,296.46,296.49,296.65,"37,89,563","1,12,41,86,091.87","31,289","29,18,771",77.02,0.024,0.00023612352743329246,0.004542991838766306,292.662,288.6882
2025-12-01,NIFTYBEES,EQ,296.49,297.28,298.15,295.66,296.29,296.1,296.55,"70,35,148","2,08,62,90,171.06","67,878","47,88,519",68.07,-0.132,-0.0013162559486566115,0.00436277653628954,292.903,288.902
2025-12-02,NIFTYBEES,EQ,296.1,296.18,296.99,294.01,294.96,294.66,294.98,"53,34,774","1,57,36,55,274.26","48,069","39,42,898",73.91,-0.486,-0.004875085828337386,0.004546759498549078,293.09499999999997,289.0696
2025-12-03,NIFTYBEES,EQ,294.66,294.88,294.99,292.92,294.15,293.8,293.42,"65,64,296","1,92,60,75,407.34","51,689","43,40,943",66.13,-0.292,-0.0029228855394312957,0.004356376976382648,293.2645,289.2228
2025-12-04,NIFTYBEES,EQ,293.8,294.24,294.98,293.11,294.53,294.37,294.14,"54,68,826","1,60,85,80,740.43","33,646","30,95,900",56.61,0.194,0.001938215748651926,0.0041724568724212496,293.5315,289.40319999999997
2025-12-05,NIFTYBEES,EQ,294.37,299.9,301.72,293.82,296.2,296.01,295.57,"58,45,131","1,72,76,35,949.56","39,543","34,17,699",58.47,0.557,0.005555758048756141,0.004290442053405062,293.9315,289.63179999999994
2025-12-08,NIFTYBEES,EQ,296.01,296.28,296.49,292.84,293.25,293.45,294.31,"71,01,555","2,09,00,28,899.81","79,898","52,58,585",74.05,-0.865,-0.008685970532841444,0.004792094935239487,294.1675,289.85360000000003
2025-12-09,NIFTYBEES,EQ,293.45,302.25,302.25,291.3,292.38,292.35,292.24,"70,15,783","2,05,03,02,125.65","63,160","45,33,108",64.61,-0.375,-0.003755552382663842,0.004797288649623936,294.302,290.0584
2025-12-10,NIFTYBEES,EQ,292.35,290.0,293.55,290.0,291.6,291.56,292.27,"58,28,665","1,70,35,45,333.83","45,029","42,79,115",73.42,-0.27,-0.002705898107667329,0.004604172233874054,294.2895,290.31640000000004
2025-12-11,NIFTYBEES,EQ,291.56,292.99,293.37,290.82,293.03,292.93,292.36,"41,74,292","1,22,03,97,558.85","34,507","28,16,977",67.48,0.47,0.0046878561101991595,0.004724468002197702,294.261,290.5814
2025-12-12,NIFTYBEES,EQ,292.93,293.4,294.9,293.08,294.85,294.69,294.36,"53,78,596","1,58,32,26,232.64","33,442","36,66,509",68.17,0.601,0.005990283730676425,0.004898331695120292,294.37,290.9096
2025-12-15,NIFTYBEES,EQ,294.69,294.99,294.99,293.01,294.6,294.54,294.05,"39,20,394","1,15,27,85,077.84","52,344","25,19,289",64.26,-0.051,-0.0005091390568717306,0.004827871695238115,294.389,291.20279999999997
2025-12-16,NIFTYBEES,EQ,294.54,294.28,294.3,292.5,292.65,292.66,293.09,"46,67,150","1,36,78,95,744.84","47,512","37,65,457",80.68,-0.638,-0.006403291633735665,0.004986197661715861,294.38500000000005,291.455
